id,country_id,e_date,wikipedia,seats_total,electorate,votes_cast,votes_valid,description,previous_parliament_election_id,previous_ep_election_id,e_type
18,54,13/06/2004,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Germany)",99,61682394,26523104,25783678,,385,417,European Parliament
37,44,10/06/1979,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_(United_Kingdom)",81,41155166,13446091,13397858,,243,,European Parliament
160,43,13/06/2004,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(France)",78,41509136,17763671,17168682,,403,273,European Parliament
196,44,10/06/2004,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(United_Kingdom)",78,44157267,1700780,16869020,,208,686,European Parliament
219,43,07/06/2009,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(France)",72,44282823,17992161,17218614,,171,160,European Parliament
222,44,17/06/1984,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_(United_Kingdom)",81,42493122,13998190,13961422,,290,37,European Parliament
231,54,07/06/2009,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(Germany)",99,62222873,26923614,26333444,,118,18,European Parliament
273,43,13/06/1999,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(France)",87,40132517,18766155,17647172,,479,680,European Parliament
296,54,18/06/1989,"http://en.wikipedia.org/wiki/European_Parliament_election,_1989_(West_Germany)",81,45773179,28508598,28206690,,588,610,European Parliament
351,44,09/06/1994,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(United_Kingdom)",87,43441774,15852589,15811039,,514,682,European Parliament
360,43,18/06/1989,"http://en.wikipedia.org/wiki/European_Parliament_election,_1989_(France)",81,38297496,18690692,18151416,,643,415,European Parliament
361,54,10/06/1979,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_(West_Germany)",81,42751940,28098872,27847109,,163,,European Parliament
410,44,04/06/2009,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(United_Kingdom)",72,45312626,15235619,15136932,,233,196,European Parliament
415,43,17/06/1984,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_%28France%29",81,36880688,20911350,20180934,,20,677,European Parliament
417,54,13/06/1999,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(Germany)",99,60786904,27468932,27059273,,679,540,European Parliament
540,54,12/06/1994,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(Germany)",99,60473927,36295529,35411414,,445,296,European Parliament
610,54,17/06/1984,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_(West_Germany)",81,44465989,25238754,24851371,,484,361,European Parliament
677,43,10/06/1979,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_%28France%29",81,35180531,21356960,20242347,,496,,European Parliament
680,43,12/06/1994,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(France)",87,39019797,20584980,19487470,,664,360,European Parliament
682,44,15/06/1989,"http://en.wikipedia.org/wiki/European_Parliament_election,_1989_(United_Kingdom)",81,43180720,15896078,15870465,,490,222,European Parliament
686,44,10/06/1999,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(United_Kingdom)",87,44458638,10681062,10656080,,315,351,European Parliament
824,43,24/05/2014,"http://en.wikipedia.org/wiki/European_Parliament_election,_2014_(France)",74,46544712,19747893,18955761,,782,219,European Parliament
825,54,25/05/2014,"http://en.wikipedia.org/wiki/European_Parliament_election,_2014_(Germany)",96,61998824,29843798,29355092,,800,231,European Parliament
845,44,22/05/2014,"http://en.wikipedia.org/wiki/European_Parliament_election,_2014_%28United_Kingdom%29",73,46481532,16545761,16454949,,582,410,European Parliament
20,43,21/06/1981,"http://en.wikipedia.org/wiki/French_legislative_election,_1981",474,35536041,25182031,24822945,,496,677,Parliamentary election
25,5,18/02/1990,"http://en.wikipedia.org/wiki/Japanese_general_election,_1990",512,90322908,66215906,65704311,Parliament was dissolved on 18 June 1993 following the fall of the Miyazawa cabinet.,506,,Parliamentary election
40,44,10/10/1974,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1974",635,40072970,29226810,29189104,,568,,Parliamentary election
53,5,05/12/1976,"http://en.wikipedia.org/wiki/Japanese_general_election,_1976",511,77926588,57231992,56612765,,333,,Parliamentary election
57,5,18/07/1993,"http://en.wikipedia.org/wiki/Japanese_general_election,_1993",511,94866020,63547819,62804145,,25,,Parliamentary election
75,43,10/11/1946,"http://en.wikipedia.org/wiki/French_legislative_election,_November_1946",544,25052523,19565743,19203071,"New election on 10 November 1946 for second constituent assembly.Seats total excludes 75 seats from overseas territories.",348,,Parliamentary election
76,29,18/06/1962,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1962",265,9700325,7772656,7699901,,286,,Parliamentary election
91,29,25/06/1968,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1968",264,10860888,8217916,8125996,,282,,Parliamentary election
93,54,27/09/2009,"http://en.wikipedia.org/wiki/German_federal_election,_2009",622,62168489,44005575,43371190,,118,231,Parliamentary election
95,54,19/11/1972,"http://en.wikipedia.org/wiki/West_German_federal_election,_1972",496,41446302,37761589,37459750,,447,,Parliamentary election
96,29,21/11/1988,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1988",295,17639001,13281191,13281191,,159,,Parliamentary election
102,44,25/10/1951,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1951",625,34919331,,28596594,,625,,Parliamentary election
103,54,06/09/1953,"http://en.wikipedia.org/wiki/West_German_federal_election,_1953",487,33120940,28479550,27551272,Election on 6 September 1953 with modified electoral rules.,581,,Parliamentary election
112,29,27/06/1949,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1949",262,7893629,5903572,5848971,,189,,Parliamentary election
113,5,22/06/1980,"http://en.wikipedia.org/wiki/Japanese_House_of_Councillors_election,_1980",511,80925034,60338440,59028837,,433,,Parliamentary election
118,54,18/09/2005,"http://en.wikipedia.org/wiki/German_federal_election,_2005",614,61870711,48044134,47287988,Early election on 18 September 2005 after PM Schrí_der lost a vote of confidence.,385,18,Parliamentary election
137,29,23/01/2006,"http://en.wikipedia.org/wiki/Canadian_federal_election,_2006",308,23054615,14908703,14817159,Parliament was dissolved on 7 September 2008 following a request by PM Harper.,240,,Parliamentary election
138,5,18/12/1983,"http://en.wikipedia.org/wiki/Japanese_House_of_Councillors_election,_1983",511,84252608,57238897,56779701,,113,,Parliamentary election
